Time,XS,YS,ZS,DXS,DYS,DZS,DDXS,DDYS,DDZS
#sec,km,km,km,m/s,m/s,m/s,m/s2,m/s2,m/s2
#Guidance reference release,,,,,,,,,
-16.96,6373.382,17.954,0.471,0.0,-10.7,408.5,-0.02,-0.01,0.00
-16,6373.382,17.944,0.863,0.0,-10.7,408.5,-0.02,-0.01,0.00
-15,6373.382,17.933,1.272,-0.1,-10.7,408.5,-0.02,-0.01,0.00
-14,6373.382,17.922,1.680,-0.1,-10.8,408.5,-0.02,-0.01,0.00
-13,6373.382,17.911,2.089,-0.1,-10.8,408.5,-0.02,-0.01,0.00
-12,6373.381,17.901,2.497,-0.1,-10.8,408.5,-0.02,-0.01,0.00
-11,6373.381,17.890,2.906,-0.2,-10.8,408.5,-0.02,-0.01,0.00
-10,6373.381,17.879,3.314,-0.2,-10.8,408.5,-0.02,-0.01,0.00
-9,6373.381,17.868,3.723,-0.2,-10.9,408.5,-0.02,-0.01,0.00
-8,6373.381,17.857,4.131,-0.2,-10.8,408.5,-0.02,-0.01,0.00
-7,6373.380,17.846,4.540,-0.3,-10.9,408.5,-0.02,-0.01,0.00
-6,6373.380,17.836,4.948,-0.3,-10.9,408.5,-0.02,-0.01,0.00
-5,6373.380,17.825,5.357,-0.3,-10.9,408.5,-0.02,-0.01,0.00
-4,6373.380,17.814,5.765,-0.3,-10.9,408.5,-0.02,-0.01,0.00
-3,6373.379,17.803,6.174,-0.4,-10.9,408.5,-0.02,-0.01,0.00
-2,6373.379,17.792,6.582,-0.4,-10.9,408.5,-0.02,-0.01,0.00
-1,6373.378,17.781,6.991,-0.4,-10.9,408.5,-0.02,-0.01,0.00
0,6373.378,17.770,7.399,-0.4,-11.0,408.5,-0.02,-0.01,0.00
#All holddown arms released,,,,,,,,,
0,6373.378,17.768,7.481,-0.4,-11.0,408.5,-0.02,-0.01,0.00
#Liftoff - start of time base 1,,,,,,,,,
0.6,6373.378,17.763,7.644,-0.1,-11.0,408.5,0.93,-0.02,-0.06
1,6373.378,17.759,7.809,0.5,-11.0,408.5,2.07,-0.02,-0.09
2,6373.379,17.748,8.216,2.6,-11.0,408.4,2.13,-0.02,-0.09
3,6373.383,17.737,8.624,4.7,-11.0,408.3,2.18,-0.03,-0.09
4,6373.389,17.726,9.031,6.9,-11.1,408.2,2.24,-0.01,-0.08
5,6373.397,17.715,9.441,9.2,-11.0,408.1,2.29,0.18,-0.06
6,6373.407,17.704,9.849,11.5,-10.7,408.1,2.35,0.35,-0.05
7,6373.420,17.694,10.257,13.9,-10.3,408.0,2.41,0.44,-0.03
8,6373.435,17.684,10.665,16.3,-9.9,408.0,2.47,0.43,-0.04
9,6373.452,17.674,11.073,18.8,-9.5,407.9,2.52,0.26,-0.05
10,6373.473,17.664,11.481,21.3,-9.4,407.9,2.59,0.05,-0.04
11,6373.495,17.655,11.889,24.0,-9.4,407.9,2.65,-0.05,-0.05
12,6373.520,17.646,12.297,26.6,-9.4,407.8,2.71,-0.05,-0.04
13,6373.549,17.636,12.704,29.4,-9.4,407.8,2.79,0.04,-0.04
14,6373.579,17.627,13.112,32.2,-9.3,407.7,2.86,0.12,-0.02
15,6373.613,17.618,13.520,35.1,-9.3,407.8,2.91,0.01,0.03
16,6373.649,17.608,13.928,38.0,-9.4,407.8,2.98,-0.16,0.08
17,6373.689,17.599,14.335,41.0,-9.5,407.9,3.05,-0.17,0.09
18,6373.732,17.589,14.743,44.1,-9.7,408.0,3.12,-0.18,0.12
19,6373.777,17.579,15.151,47.3,-9.9,408.2,3.18,-0.17,0.19
20,6373.826,17.569,15.560,50.5,-10.0,408.4,3.25,-0.10,0.26
21,6373.878,17.559,15.968,53.7,-10.1,408.7,3.32,-0.08,0.34
22,6373.934,17.549,16.377,57.1,-10.2,409.1,3.39,-0.08,0.42
23,6373.992,17.539,16.786,60.5,-10.3,409.5,3.44,-0.08,0.50
24,6374.055,17.529,17.196,64.0,-10.4,410.1,3.51,-0.08,0.59
25,6374.120,17.518,17.607,67.5,-10.5,410.7,3.58,-0.09,0.68
26,6374.190,17.508,18.018,71.1,-10.6,411.4,3.65,-0.09,0.78
27,6374.263,17.497,18.428,74.9,-10.6,412.3,3.72,-0.09,0.89
28,6374.339,17.486,18.842,78.5,-10.7,413.2,3.79,-0.09,1.00
29,6374.420,17.476,19.256,82.4,-10.8,414.3,3.86,-0.09,1.12
30,6374.504,17.465,19.671,86.3,-10.9,415.4,3.94,-0.10,1.23
31,6374.592,17.454,20.087,90.2,-11.0,416.7,4.01,-0.11,1.34
32,6374.685,17.443,20.504,94.3,-11.2,418.1,4.08,-0.12,1.45
33,6374.781,17.431,20.923,98.4,-11.3,419.6,4.16,-0.13,1.57
34,6374.881,17.420,21.344,102.6,-11.4,421.3,4.24,-0.13,1.68
35,6374.986,17.409,21.766,106.9,-11.5,423.0,4.31,-0.14,1.80
36,6375.095,17.397,22.190,111.2,-11.7,424.9,4.39,-0.14,1.93
37,6375.204,17.385,22.615,115.6,-11.8,426.9,4.47,-0.14,2.06
38,6375.326,17.373,23.043,120.1,-12.0,429.0,4.54,-0.14,2.19
39,6375.449,17.361,23.473,124.7,-12.1,431.2,4.62,-0.13,2.33
40,6375.576,17.349,23.906,129.4,-12.2,433.6,4.70,-0.13,2.47
41,6375.707,17.337,24.341,134.1,-12.4,436.2,4.78,-0.13,2.62
42,6375.844,17.324,24.778,138.9,-12.5,438.9,4.85,-0.13,2.78
43,6375.985,17.312,25.219,143.8,-12.6,441.8,4.93,-0.13,2.95
44,6376.132,17.299,25.662,148.7,-12.8,444.8,5.00,-0.12,3.11
45,6376.283,17.286,26.108,153.8,-12.9,448.0,5.07,-0.12,3.28
46,6376.439,17.273,26.559,158.9,-13.0,451.3,5.14,-0.11,3.45
47,6376.601,17.260,27.011,164.0,-13.1,454.9,5.21,-0.09,3.62
48,6376.767,17.247,27.468,169.3,-13.2,458.6,5.28,-0.06,3.79
49,6376.939,17.234,27.928,174.6,-13.2,462.5,5.35,-0.03,3.97
50,6377.116,17.221,28.393,180.0,-13.3,466.5,5.42,-0.01,4.16
51,6377.299,17.207,28.861,185.4,-13.3,470.8,5.49,0.00,4.36
52,6377.487,17.194,29.334,190.9,-13.3,475.3,5.56,0.01,4.55
53,6377.681,17.181,29.812,196.5,-13.3,479.9,5.62,0.01,4.75
54,6377.880,17.168,30.294,202.2,-13.3,484.7,5.68,-0.01,4.93
55,6378.085,17.154,30.782,207.9,-13.3,489.8,5.76,-0.03,5.11
56,6378.296,17.141,31.274,213.7,-13.3,495.0,5.83,-0.04,5.28
57,6378.513,17.128,31.772,219.6,-13.4,500.3,5.91,-0.05,5.44
58,6378.735,17.114,32.275,225.5,-13.4,505.8,5.99,-0.06,5.60
59,6378.964,17.101,32.783,231.5,-13.5,511.5,6.06,-0.04,5.77
60,6379.198,17.087,33.298,237.6,-13.5,517.4,6.13,-0.01,5.94
61,6379.437,17.074,33.818,243.8,-13.5,523.4,6.20,0.03,6.14
62,6379.686,17.060,34.345,250.0,-13.4,529.7,6.24,0.07,6.35
63,6379.939,17.047,34.878,256.2,-13.3,536.2,6.27,0.09,6.59
64,6380.193,17.034,35.417,262.5,-13.3,542.9,6.28,0.10,6.84
65,6380.464,17.021,35.963,268.8,-13.2,549.8,6.24,0.09,7.10
66,6380.736,17.007,36.517,275.0,-13.1,557.1,6.28,0.08,7.37
67,6381.014,16.994,37.078,281.3,-13.0,564.6,6.29,0.07,7.63
#Mach 1,,,,,,,,,
67.53,6381.156,16.988,37.361,284.5,-13.0,568.4,6.29,0.07,7.76
68,6381.299,16.981,37.646,287.6,-12.9,572.3,6.30,0.07,7.88
69,6381.587,16.968,38.222,293.9,-12.9,580.3,6.34,0.06,8.11
70,6381.887,16.956,38.807,300.3,-12.8,588.5,6.38,0.07,8.30
71,6382.190,16.943,39.390,306.7,-12.8,596.9,6.46,0.09,8.48
72,6382.500,16.930,40.001,313.2,-12.7,605.4,6.54,0.12,8.65
73,6382.816,16.918,40.610,319.8,-12.5,614.2,6.62,0.16,8.83
74,6383.140,16.905,41.229,326.4,-12.3,623.1,6.69,0.23,9.04
75,6383.467,16.893,41.857,333.2,-12.0,632.3,6.76,0.32,9.27
76,6383.806,16.881,42.494,339.9,-11.6,641.7,6.82,0.43,9.55
77,6384.149,16.870,43.140,346.8,-11.2,651.4,6.87,0.55,9.84
78,6384.499,16.859,43.797,353.6,-10.6,661.4,6.90,0.64,10.15
79,6384.857,16.849,44.463,360.6,-9.9,671.7,6.93,0.71,10.46
80,6385.221,16.839,45.140,367.5,-9.2,682.3,6.97,0.74,10.76
81,6385.592,16.830,45.828,374.5,-8.5,693.2,7.02,0.72,11.06
82,6385.970,16.822,46.527,381.6,-7.9,704.4,7.06,0.67,11.36
#Maximum dynamic pressure,,,,,,,,,
82.5,6386.161,16.818,46.880,385.1,-7.5,710.2,7.08,0.62,11.51
83,6386.355,16.815,47.237,388.6,-7.2,716.0,7.10,0.57,11.67
84,6386.747,16.808,47.959,395.7,-6.7,727.8,7.11,0.44,12.00
85,6387.146,16.801,48.693,402.8,-6.3,740.0,7.13,0.28,12.35
86,6387.553,16.795,49.439,410.0,-6.1,752.5,7.11,0.12,12.71
87,6387.966,16.789,50.199,417.0,-6.1,765.4,7.08,-0.03,13.09
88,6388.387,16.783,50.970,424.1,-6.2,778.7,7.05,-0.16,13.47
89,6388.814,16.776,51.755,431.1,-6.4,792.3,7.01,-0.27,13.85
90,6389.249,16.770,52.555,438.1,-6.7,806.4,6.98,-0.35,14.22
91,6389.691,16.761,53.368,445.1,-7.1,820.8,6.96,-0.40,14.60
92,6390.139,16.756,54.196,452.1,-7.5,835.6,6.94,-0.44,14.96
93,6390.595,16.748,55.039,459.0,-7.9,850.7,6.91,-0.47,15.33
94,6391.057,16.740,55.898,465.9,-8.4,866.2,6.88,-0.49,15.70
95,6391.526,16.731,56.772,472.7,-8.9,882.1,6.85,-0.49,16.07
96,6392.002,16.722,57.667,479.6,-9.4,898.4,6.81,-0.47,16.44
97,6392.485,16.712,58.569,486.3,-9.9,915.0,6.78,-0.44,16.81
98,6392.975,16.702,59.492,493.1,-10.3,932.0,6.74,-0.41,17.18
99,6393.472,16.692,60.433,499.8,-10.7,949.4,6.71,-0.36,17.55
100,6393.975,16.681,61.391,506.5,-11.0,967.1,6.68,-0.32,17.91
101,6394.485,16.670,62.367,513.2,-11.3,985.2,6.67,-0.28,18.26
102,6395.001,16.659,63.367,519.9,-11.6,1003.6,6.66,-0.24,18.61
103,6395.524,16.647,64.375,526.5,-11.8,1022.4,6.66,-0.21,18.94
104,6396.054,16.635,65.406,533.2,-12.0,1041.5,6.66,-0.19,19.27
105,6396.591,16.623,66.458,539.8,-12.2,1060.9,6.66,-0.18,19.60
106,6397.134,16.610,67.529,546.5,-12.4,1080.7,6.65,-0.17,19.93
107,6397.684,16.598,68.619,553.1,-12.6,1100.8,6.65,-0.18,20.26
108,6398.240,16.585,69.730,559.7,-12.8,1121.2,6.64,-0.20,20.58
109,6398.803,16.572,70.862,566.4,-13.0,1142.0,6.64,-0.22,20.91
110,6399.373,16.559,72.014,573.0,-13.2,1163.1,6.65,-0.25,21.24
111,6399.949,16.546,73.188,579.7,-13.5,1184.5,6.68,-0.28,21.55
112,6400.532,16.532,74.383,586.4,-13.8,1206.2,6.73,-0.30,21.86
113,6401.122,16.519,75.600,593.2,-14.1,1228.2,6.79,-0.31,22.16
114,6401.719,16.504,76.840,600.0,-14.4,1250.5,6.87,-0.32,22.45
115,6402.322,16.490,78.101,606.9,-14.7,1273.1,6.96,-0.32,22.74
116,6402.932,16.475,79.386,613.9,-15.0,1295.9,7.07,-0.31,23.03
117,6403.550,16.460,80.693,621.0,-15.3,1319.1,7.16,-0.30,23.33
118,6404.174,16.444,82.024,628.2,-15.6,1342.6,7.25,-0.29,23.65
119,6404.806,16.428,83.379,635.5,-15.9,1366.5,7.31,-0.28,23.99
120,6405.445,16.412,84.757,642.8,-16.2,1390.6,7.34,-0.27,24.35
121,6406.092,16.396,86.160,650.1,-16.4,1415.2,7.36,-0.25,24.73
122,6406.746,16.380,87.588,657.5,-16.7,1440.1,7.36,-0.24,25.13
123,6407.407,16.363,89.041,664.9,-16.9,1465.4,7.36,-0.24,25.53
124,6408.075,16.346,90.519,672.2,-17.2,1491.2,7.35,-0.25,25.94
125,6408.751,16.328,92.023,679.6,-17.4,1517.3,7.36,-0.26,26.35
126,6409.435,16.311,93.554,686.9,-17.7,1543.9,7.38,-0.28,26.76
127,6410.125,16.293,95.111,694.3,-18.0,1570.8,7.41,-0.30,27.17
128,6410.823,16.275,96.695,701.7,-18.3,1598.2,7.45,-0.31,27.58
129,6411.529,16.256,98.307,709.2,-18.6,1626.0,7.49,-0.32,28.00
130,6412.242,16.238,99.947,716.7,-18.9,1654.2,7.54,-0.32,28.42
131,6412.962,16.218,101.616,724.3,-19.3,1682.8,7.59,-0.31,28.85
132,6413.690,16.199,103.313,731.9,-19.6,1711.9,7.64,-0.31,29.29
133,6414.426,16.179,105.040,739.5,-19.9,1741.4,7.69,-0.27,29.71
134,6415.161,16.159,106.786,747.2,-20.2,1771.3,7.74,-0.32,30.14
135,6415.920,16.139,108.583,755.0,-20.5,1801.7,7.80,-0.30,30.57
136,6416.679,16.118,110.400,762.8,-20.8,1832.5,7.85,-0.31,31.00
137,6417.446,16.097,112.249,770.7,-21.1,1863.7,7.90,-0.32,31.43
138,6418.220,16.076,114.128,778.6,-21.4,1895.3,7.95,-0.33,31.87
139,6419.001,16.054,116.040,786.6,-21.7,1927.4,8.00,-0.28,32.30
#S-IC center engine cutoff (engine solenoid),,,,,,,,,
139,6419.239,16.048,116.621,789.0,-21.8,1937.1,8.02,-0.27,32.43
140,6419.798,16.033,117.983,793.3,-22.0,1957.3,4.89,-0.22,26.56
141,6420.588,16.010,119.955,797.8,-22.2,1983.9,4.35,-0.17,26.75
142,6421.388,15.988,121.953,802.2,-22.3,2010.8,4.38,-0.11,26.99
143,6422.192,15.966,123.979,806.6,-22.5,2037.9,4.41,-0.11,27.26
144,6423.001,15.943,126.030,811.0,-22.6,2065.3,4.44,-0.04,27.58
145,6423.814,15.921,129.109,815.4,-22.6,2093.1,4.48,-0.04,27.91
146,6424.630,15.898,130.216,819.9,-22.6,2121.2,4.51,-0.01,28.25
147,6425.454,15.875,132.351,824.4,-22.6,2149.6,4.54,-0.05,28.60
148,6426.280,15.853,134.515,829.0,-22.7,2178.3,4.57,-0.05,28.94
149,6427.112,15.830,136.708,833.6,-22.8,2207.4,4.60,-0.06,29.35
150,6427.944,15.807,138.930,838.2,-22.8,2237.0,4.63,-0.07,29.77
151,6428.788,15.784,141.182,842.9,-22.9,2266.9,4.66,-0.08,30.19
152,6429.634,15.761,143.464,847.6,-23.0,2297.3,4.70,-0.09,30.63
153,6430.483,15.738,145.777,852.3,-23.1,2328.2,4.73,-0.10,31.06
154,6431.339,15.715,148.121,857.0,-23.2,2359.5,4.76,-0.10,31.45
155,6432.197,15.692,150.496,861.8,-23.3,2391.1,4.79,-0.09,31.91
156,6433.062,15.669,152.903,866.6,-23.4,2423.3,4.83,-0.13,32.37
157,6433.931,15.645,155.341,871.4,-23.6,2455.9,4.87,-0.13,32.83
158,6434.805,15.622,157.816,876.3,-23.7,2488.9,4.91,-0.06,33.29
159,6435.683,15.598,160.321,881.2,-23.8,2522.5,4.94,-0.16,33.75
160,6436.567,15.574,162.860,886.2,-23.9,2556.5,4.98,-0.11,34.21
161,6437.455,15.550,165.433,891.2,-24.0,2590.9,5.02,-0.10,34.68
#S-IC outboard engine cutoff (engine solenoid),,,,,,,,,
161.2,6437.634,15.545,165.953,892.2,-24.0,2597.8,5.02,-0.12,34.77
162,6438.345,15.526,168.032,888.8,-24.1,2609.9,-9.57,0.00,1.03
162.9,6439.140,15.504,170.373,880.1,-24.1,2609.7,-9.57,-0.02,-0.81
#S-IC/S-II separation command,,,,,,,,,
164,6440.004,15.478,173.249,869.6,-24.1,2608.8,-9.57,-0.02,-0.81
166,6441.825,15.430,178.467,850.9,-24.1,2608.8,-8.57,-0.01,2.21
168,6443.511,15.381,183.691,835.8,-24.2,2617.9,-7.14,-0.03,5.48
170,6445.169,15.332,188.939,821.8,-24.3,2629.4,-6.89,-0.04,6.16
172,6446.799,15.284,194.211,808.4,-24.3,2642.4,-6.61,-0.01,6.68
174,6448.403,15.236,199.509,795.1,-24.3,2655.8,-6.57,0.00,6.79
176,6449.980,15.187,204.834,782.0,-24.3,2669.4,-6.55,0.00,6.82
178,6451.531,15.138,210.187,768.9,-24.3,2683.1,-6.53,0.00,6.85
180,6453.055,15.090,215.567,755.9,-24.4,2696.9,-6.51,0.00,6.89
182,6454.554,15.041,220.975,742.8,-24.4,2710.7,-6.49,0.00,6.92
184,6456.027,14.992,226.410,729.9,-24.4,2724.5,-6.47,0.00,6.94
186,6457.474,14.943,231.873,716.9,-24.4,2738.4,-6.45,0.00,6.97
188,6458.894,14.895,237.364,704.0,-24.4,2752.4,-6.44,0.00,6.98
190,6460.290,14.846,242.892,691.2,-24.4,2766.4,-6.42,0.00,7.01
192,6461.659,14.797,248.429,678.3,-24.4,2780.5,-6.40,0.00,7.05
194,6463.003,14.748,254.004,665.6,-24.5,2794.6,-6.37,0.00,7.08
196,6464.321,14.699,259.607,652.8,-24.5,2808.8,-6.35,0.00,7.10
198,6465.614,14.650,265.239,640.1,-24.5,2823.0,-6.33,0.00,1.14
200,6466.882,14.601,270.900,627.5,-24.5,2837.3,-6.31,-0.01,7.18
202,6468.125,14.552,276.589,614.9,-24.5,2851.7,-6.28,-0.01,7.22
204,6469.342,14.503,282.306,602.4,-24.5,2866.2,-6.24,0.00,7.25
206,6470.534,14.454,288.053,589.9,-24.5,2880.7,-6.19,0.03,7.25
208,6471.702,14.405,293.829,577.6,-24.4,2895.2,-6.14,0.07,7.26
210,6472.845,14.356,299.634,565.4,-24.2,2909.7,-6.09,0.10,7.27
212,6473.963,14.308,305.468,553.2,-24.0,2924.3,-6.08,0.12,7.30
214,6475.057,14.260,311.332,541.0,-23.8,2938.9,-6.07,0.12,7.32
216,6476.127,14.213,317.224,528.9,-23.6,2953.6,-6.08,0.11,7.35
218,6477.173,14.166,323.146,516.7,-23.3,2968.3,-6.08,0.11,7.39
220,6478.194,14.120,329.098,504.5,-23.1,2983.2,-6.08,0.11,7.42
222,6479.191,14.074,335.079,492.4,-22.9,2998.0,-6.08,0.10,7.45
224,6480.163,14.028,341.090,480.2,-22.7,3013.0,-6.08,0.11,7.49
226,6481.111,13.983,347.131,468.0,-22.5,3028.0,-6.08,0.11,7.53
228,6482.035,13.938,353.202,455.9,-22.3,3043.1,-6.08,0.11,7.56
230,6482.935,13.894,359.303,443.7,-22.1,3058.2,-6.07,0.11,7.59
232,6483.810,13.850,365.434,431.5,-21.9,3073.4,-6.08,0.11,7.62
234,6484.661,13.806,371.597,419.4,-21.6,3088.7,-6.09,0.12,7.66
236,6485.488,13.763,377.789,407.2,-21.4,3104.0,-6.10,0.12,7.70
238,6486.290,13.720,384.013,394.9,-21.2,3119.5,-6.11,0.11,7.74
240,6487.067,13.678,390.267,382.7,-21.0,3135.0,-6.11,0.11,7.78
242,6487.820,13.637,396.553,370.4,-20.8,3150.6,-6.12,0.11,7.81
244,6488.549,13.595,402.870,358.2,-20.6,3166.3,-6.12,0.11,7.85
246,6489.253,13.554,409.218,345.9,-20.4,3182.0,-6.12,0.11,7.88
248,6489.933,13.514,415.598,333.7,-20.1,3197.8,-6.12,0.12,7.91
250,6490.588,13.474,422.001,321.4,-19.9,3213.6,-6.12,0.11,7.95
252,6491.218,13.434,428.452,309.2,-19.7,3229.6,-6.13,0.10,7.99
254,6491.825,13.395,434.927,296.9,-19.5,3245.6,-6.14,0.10,8.03
256,6492.406,13.356,441.435,284.6,-19.3,3261.7,-6.15,0.10,8.07
258,6492.963,13.318,447.974,272.3,-19.1,3277.9,-6.16,0.10,8.11
260,6493.495,13.280,454.546,259.9,-18.9,3294.1,-6.16,0.11,8.15
262,6494.003,13.242,461.151,247.6,-18.7,3310.5,-6.16,0.11,8.18
264,6494.486,13.205,467.789,235.3,-18.5,3326.9,-6.16,0.11,8.22
266,6494.944,13.168,474.459,222.9,-18.3,3343.4,-6.16,0.11,8.25
